Constituency No.,Constituency,Candidate No.,Name,Sex,Age,Category,Party,General,Postal,Total
62,SHAHDARA,10,VANDANA,F,37,GEN,IND,124,0,124
62,SHAHDARA,11,RAM KANWAR,M,64,SC,CPM,120,1,121
62,SHAHDARA,12,ISHWAR DASS,M,52,SC,IND,89,0,89
63,SEEMA PURI (SC),1,DHARMENDER SINGH,M,27,SC,AAAP,43027,172,43199
63,SEEMA PURI (SC),2,VEER SINGH DHINGAN,M,59,SC,INC,31066,157,31223
63,SEEMA PURI (SC),3,RAM PAL SINGH,M,57,SC,BJP,24163,193,24356
63,SEEMA PURI (SC),4,SANTOSH KUMAR,M,38,SC,BSP,12425,76,12501
63,SEEMA PURI (SC),5,None of the Above,N/A,N/A,N/A,NOTA,716,7,723
63,SEEMA PURI (SC),6,RAM PRASAD ATRI,M,65,SC,CPI,696,3,699
63,SEEMA PURI (SC),7,RAM MOHAN GAUTAM,M,52,SC,PECP,468,2,470
63,SEEMA PURI (SC),8,RAM PRAKASH GAUTAM,M,43,SC,SP,429,2,431
63,SEEMA PURI (SC),9,SUBHASH BABU,M,29,SC,HND,283,0,283
63,SEEMA PURI (SC),10,KISHAN PAL VAID,M,42,SC,IND,217,1,218
63,SEEMA PURI (SC),11,DEEP MALA,F,48,SC,NALP,171,0,171
63,SEEMA PURI (SC),12,ANGAN LAL,M,43,SC,RPIE,131,0,131
64,ROHTAS NAGAR,1,JITENDER KUMAR,M,44,GEN,BJP,49589,327,49916
64,ROHTAS NAGAR,2,MUKESH HOODA,M,50,GEN,AAAP,34741,232,34973
64,ROHTAS NAGAR,3,VIPIN SHARMA,M,36,GEN,INC,31937,219,32156
64,ROHTAS NAGAR,4,DAYA SHANKAR BHARDWAJ,M,54,GEN,BSP,2023,53,2076
64,ROHTAS NAGAR,5,None of the Above,N/A,N/A,N/A,NOTA,610,9,619
64,ROHTAS NAGAR,6,NAUSHAD,M,35,GEN,LJP,294,1,295
64,ROHTAS NAGAR,7,MOHD. ARIF,M,41,GEN,IND,289,0,289
64,ROHTAS NAGAR,8,BHUDEV SHARMA,M,41,GEN,AVIRP,172,1,173
64,ROHTAS NAGAR,9,JUGAL KISHORE SHARMA,M,34,GEN,IND,167,0,167
64,ROHTAS NAGAR,10,MOHAMMAD UMAR,M,66,GEN,IND,92,0,92
65,SEELAMPUR,1,CHAUDHARY MATEEN AHMAD,M,55,GEN,INC,46373,79,46452
65,SEELAMPUR,2,KAUSHAL KUMAR MISHRA,M,45,GEN,BJP,24566,158,24724
65,SEELAMPUR,3,ABDUL REHMAN,M,46,GEN,BSP,13311,41,13352
65,SEELAMPUR,4,MASOOD ALI KHAN,M,56,GEN,AAAP,12922,47,12969
65,SEELAMPUR,5,NAZRIN NAAZ,F,30,GEN,PECP,635,0,635
65,SEELAMPUR,6,MOHD.HASNAIN,M,54,GEN,IND,570,1,571
65,SEELAMPUR,7,None of the Above,N/A,N/A,N/A,NOTA,550,0,550
65,SEELAMPUR,8,BASHIRUDDIN,M,45,GEN,SP,471,1,472
65,SEELAMPUR,9,SARFARAJ,M,40,GEN,IND,120,0,120
66,GHONDA,1,SAHAB SINGH CHAUHAN,M,63,GEN,BJP,47255,276,47531
66,GHONDA,2,BHISHAM SHARMA,M,51,GEN,INC,35465,134,35599
66,GHONDA,3,DATARAM,M,54,GEN,AAAP,23544,77,23621
66,GHONDA,4,NARESH CHAND RATHORE,M,53,GEN,BSP,6135,20,6155
66,GHONDA,5,ROHTASH KUMAR,M,59,GEN,JD(U),4454,10,4464
66,GHONDA,6,KIRAN PAL SINGH,M,40,SC,IND,1857,0,1857
66,GHONDA,7,None of the Above,N/A,N/A,N/A,NOTA,548,1,549
66,GHONDA,9,AFLATOON,M,43,GEN,DETAILED RESULTS VALID VOTES POLLED CANDIDATE NAME,40,224,1
66,GHONDA,10,WASEEM,M,32,GEN,RLD,217,0,217
66,GHONDA,11,KIRAN SINGH,F,36,SC,IJP,131,0,131
66,GHONDA,12,MD. NAZIR,M,39,GEN,JKNPP,129,0,129
66,GHONDA,13,MOHINDER PAL SINGH,M,76,SC,BASMM,109,0,109
66,GHONDA,14,RAJIV KUMAR,M,45,GEN,SP(I),86,0,86
66,GHONDA,15,PADAM CHAND,M,40,SC,RJ,84,0,84
66,GHONDA,16,RAMESH CHAND,M,37,GEN,JSHSP,77,0,77
67,BABARPUR,1,NARESH GAUR,M,61,GEN,BJP,33890,290,34180
67,BABARPUR,2,ZAKIR KHAN,M,39,GEN,INC,29605,68,29673
67,BABARPUR,3,GOPAL RAI,M,38,GEN,AAAP,25585,138,25723
67,BABARPUR,4,FURKHAN,M,35,GEN,PECP,10016,1,10017
67,BABARPUR,5,SUNIL VASISHT,M,52,GEN,SP,5888,36,5924
67,BABARPUR,6,BHURE KHAN,M,47,GEN,BSP,4993,26,5019
67,BABARPUR,7,MS. SHAGUFTA RANI,F,26,GEN,IND,2744,0,2744
67,BABARPUR,8,ABSAAR AHMED,M,54,GEN,CPI,794,0,794
67,BABARPUR,9,None of the Above,N/A,N/A,N/A,NOTA,455,5,460
67,BABARPUR,10,KESAR,F,34,GEN,RJ,178,0,178
67,BABARPUR,11,BABU RAM,M,33,GEN,IND,140,1,141
67,BABARPUR,12,MAHNAAZ ALAM,F,27,GEN,IND,123,0,123
68,GOKALPUR (SC),1,RANJEET SINGH,M,42,SC,BJP,34446,442,34888
68,GOKALPUR (SC),2,SURENDRA KUMAR,M,45,SC,IND,32675,291,32966
68,GOKALPUR (SC),3,DEVI DAYAL,M,48,SC,AAAP,29514,119,29633
68,GOKALPUR (SC),4,BALZOR SINGH,M,75,SC,INC,15760,142,15902
68,GOKALPUR (SC),5,CHOUDHARY BALRAJ,M,44,SC,BSP,10721,178,10899
68,GOKALPUR (SC),6,None of the Above,N/A,N/A,N/A,NOTA,1335,3,1338
68,GOKALPUR (SC),7,DHARM RAJ SINGH,M,36,SC,PECP,1033,1,1034
68,GOKALPUR (SC),8,ROOP KISHOR,M,45,SC,IJP,344,2,346
68,GOKALPUR (SC),9,ANIL KUMAR,M,29,SC,LJP,337,2,339
68,GOKALPUR (SC),10,ASHOK KUMAR GAUTAM,M,33,SC,IND,271,1,272
68,GOKALPUR (SC),11,SATYENDRI PAL SINGH,F,29,SC,SP,181,3,184
68,GOKALPUR (SC),12,RAJESH KUMAR,M,31,SC,BASMM,133,3,136
68,GOKALPUR (SC),13,RUPESH KUMAR,M,31,SC,RLD,116,1,117
69,MUSTAFABAD,1,HASAN AHMED,M,60,GEN,INC,56195,55,56250
69,MUSTAFABAD,2,JAGDISH PRADHAN,M,60,GEN,BJP,54101,253,54354
69,MUSTAFABAD,3,KAPIL DHAMA,M,28,GEN,AAAP,19713,46,19759
69,MUSTAFABAD,4,MASTER SHER KHAN,M,53,GEN,PECP,9472,6,9478
69,MUSTAFABAD,5,NAAZ MOHAMMAD KHAN,M,48,GEN,BSP,2927,27,2954
69,MUSTAFABAD,6,BRIJESH CHAND SHUKLA,M,37,GEN,IND,1740,0,1740
69,MUSTAFABAD,7,None of the Above,N/A,N/A,N/A,NOTA,767,1,768
69,MUSTAFABAD,8,UDAI VEER SINGH,M,70,GEN,IJP,718,1,719
69,MUSTAFABAD,9,ROOP SINGH,M,61,GEN,IND,234,0,234
69,MUSTAFABAD,10,DEVKI MAURYA,F,43,GEN,LSWP,209,1,210
69,MUSTAFABAD,11,BRAHM PAL,M,34,GEN,LPSP,165,1,166
69,MUSTAFABAD,12,KADIR AHMED,M,37,GEN,RJ,164,0,164
69,MUSTAFABAD,13,SHAQUIB YUSUFZAI KHAN,M,42,GEN,JD(U),164,0,164
69,MUSTAFABAD,14,MOHD YASEEN,M,35,GEN,LJP,122,0,122
